City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Los Llanos De Aridane,ES,2021-06-02 15:48:49,28.6585,-17.9182,69.55,80,75,7.61
202,Vaini,TO,2021-06-02 15:48:50,-21.2,-175.2,69.96,83,20,2.3
203,Sergeyevka,KZ,2021-06-02 15:48:53,53.88,67.4158,61.09,53,0,8.12
204,Sindou,BF,2021-06-02 15:48:54,10.6667,-5.1667,97.74,31,71,0.63
205,Bembibre,ES,2021-06-02 15:48:56,42.6177,-6.4155,75.15,38,73,4.41
206,Bahia Blanca,AR,2021-06-02 15:48:01,-38.7196,-62.2724,52.99,49,11,9.22
207,Ostrovnoy,RU,2021-06-02 15:48:58,68.0531,39.5131,45.41,85,93,12.64
208,Zharkovskiy,RU,2021-06-02 15:49:00,55.849,32.2697,61.92,59,93,3.24
209,Ilulissat,GL,2021-06-02 15:49:01,69.2167,-51.1,42.82,45,1,6.91
210,Mocuba,MZ,2021-06-02 15:49:02,-16.8392,36.9856,72.57,71,55,1.97
211,Kashi,CN,2021-06-02 15:49:04,39.4547,75.9797,79.23,29,40,6.87
212,Basse,DE,2021-06-02 15:49:05,52.5518,9.5069,79.07,45,56,11.99
213,Tougue,GN,2021-06-02 15:49:06,11.4667,-11.6,85.77,42,72,8.3
214,Kratovo,MK,2021-06-02 15:49:08,42.0792,22.1814,68.59,50,8,8.12
215,Bocana De Paiwas,NI,2021-06-02 15:49:10,12.7857,-85.1227,86.0,52,78,11.25
216,Sakakah,SA,2021-06-02 15:49:12,29.9697,40.2064,101.77,10,0,7.58
217,Torbay,CA,2021-06-02 15:49:13,47.6666,-52.7314,70.88,52,1,21.85
218,Tabou,CI,2021-06-02 15:49:14,4.423,-7.3528,83.44,73,50,7.9
219,Registro,BR,2021-06-02 15:49:16,-24.4875,-47.8436,81.12,46,0,1.01
220,Tezu,IN,2021-06-02 15:49:17,27.9167,96.1667,75.45,97,95,3.31
221,Dahra,DZ,2021-06-02 15:49:19,36.2546,0.8519,87.19,47,5,10.49
222,Ouanaminthe,HT,2021-06-02 15:49:20,19.55,-71.7333,89.17,53,61,4.25
223,Formosa,AR,2021-06-02 15:47:40,-26.1775,-58.1781,80.58,69,75,3.44
224,Thompson,CA,2021-06-02 15:47:35,55.7435,-97.8558,68.16,56,40,12.66
225,Mangrol,IN,2021-06-02 15:49:24,21.1167,70.1167,84.0,77,0,10.76
226,San Martin,AR,2021-06-02 15:49:25,-33.081,-68.4681,59.54,48,9,11.45
227,Hithadhoo,MV,2021-06-02 15:49:26,-0.6,73.0833,83.77,68,65,18.37
228,Batsfjord,NO,2021-06-02 15:49:28,70.6345,29.7185,66.42,44,0,6.91
229,Iquitos,PE,2021-06-02 15:49:30,-3.7481,-73.2472,84.24,74,75,2.3
230,Can,TR,2021-06-02 15:49:31,40.0333,27.0524,70.48,58,75,3.83
231,Burns Lake,CA,2021-06-02 15:45:43,54.2331,-125.7533,53.02,71,100,3.85
232,Zhigansk,RU,2021-06-02 15:49:34,66.7697,123.3711,57.36,69,78,12.75
233,Progreso,MX,2021-06-02 15:49:35,21.2833,-89.6667,84.97,62,12,9.86
234,Prince Rupert,CA,2021-06-02 15:45:43,54.3161,-130.3201,57.29,94,90,11.5
235,Uva,RU,2021-06-02 15:49:38,56.9908,52.1852,57.13,58,99,7.7
236,Hofn,IS,2021-06-02 15:42:02,64.2539,-15.2082,48.22,87,90,16.11
237,Poum,NC,2021-06-02 15:49:40,-20.2333,164.0167,72.28,67,91,14.32
238,Kushima,JP,2021-06-02 15:49:42,31.4583,131.2333,67.82,90,100,7.05
239,Tuy Hoa,VN,2021-06-02 15:49:43,13.0833,109.3,82.02,77,100,3.96
240,Barrow,US,2021-06-02 15:49:44,71.2906,-156.7887,28.42,74,90,14.97
241,Nikolskoye,RU,2021-06-02 15:49:46,59.7035,30.7861,66.09,48,19,7.47
242,Mogadishu,SO,2021-06-02 15:49:47,2.0371,45.3438,78.64,81,49,15.01
243,Dunedin,NZ,2021-06-02 15:49:48,-45.8742,170.5036,47.8,81,1,4.0
244,Mareeba,AU,2021-06-02 15:49:50,-17.0,145.4333,63.48,93,100,2.15
245,Vardo,NO,2021-06-02 15:49:51,70.3705,31.1107,66.4,77,33,3.4
246,Sitangkai,PH,2021-06-02 15:49:53,4.6628,119.3928,84.88,73,100,14.54
247,Tuktoyaktuk,CA,2021-06-02 15:49:54,69.4541,-133.0374,30.2,80,75,12.66
248,Concepcion,CL,2021-06-02 15:49:27,-36.827,-73.0498,55.2,94,90,2.3
249,Pangnirtung,CA,2021-06-02 15:49:57,66.1451,-65.7125,32.0,93,90,9.22
250,Vao,NC,2021-06-02 15:49:58,-22.6667,167.4833,70.32,57,95,11.36
251,Broome,US,2021-06-02 15:49:59,42.2506,-75.833,72.91,67,1,1.01
252,Vanavara,RU,2021-06-02 15:50:01,60.34,102.2797,57.99,50,3,4.81
253,Grindavik,IS,2021-06-02 15:50:03,63.8424,-22.4338,49.95,71,75,10.22
254,Manokwari,ID,2021-06-02 15:50:05,-0.8667,134.0833,79.3,81,92,6.06
255,Le Port,RE,2021-06-02 15:50:06,-20.9373,55.2919,77.0,79,96,7.14
256,Cidreira,BR,2021-06-02 15:50:07,-30.1811,-50.2056,67.3,66,87,10.83
257,Valdosta,US,2021-06-02 15:50:09,30.8327,-83.2785,80.15,65,1,3.44
258,Kachug,RU,2021-06-02 15:50:10,53.9606,105.8817,54.03,63,81,3.94
259,Shediac,CA,2021-06-02 15:50:11,46.2198,-64.5411,72.12,53,20,10.09
260,Hoima,UG,2021-06-02 15:50:13,1.4356,31.3436,72.99,69,100,3.71
261,Varnamo,SE,2021-06-02 15:50:16,57.186,14.04,68.88,46,91,5.99
262,Iskateley,RU,2021-06-02 15:50:17,67.6803,53.1512,40.98,60,8,21.14
263,Port Blair,IN,2021-06-02 15:50:18,11.6667,92.75,84.07,74,41,3.96
264,Nome,US,2021-06-02 15:50:21,64.5011,-165.4064,37.47,60,90,5.75
265,Corbelia,BR,2021-06-02 15:50:22,-24.7989,-53.3067,74.55,53,3,9.42
266,Sarangani,PH,2021-06-02 15:50:24,5.4033,125.4636,83.16,76,100,6.06
267,Logan,US,2021-06-02 15:50:25,41.7355,-111.8344,76.66,36,3,1.01
268,Dubrovytsya,UA,2021-06-02 15:50:27,51.5744,26.565,61.86,60,100,6.96
269,Togur,RU,2021-06-02 15:50:29,58.3631,82.8265,50.56,61,16,3.69
270,Gijon,ES,2021-06-02 15:50:32,43.5357,-5.6615,67.8,80,84,3.0
271,Cockburn Town,TC,2021-06-02 15:50:33,21.4612,-71.1419,79.9,77,100,19.24
272,Jatiroto,ID,2021-06-02 15:50:34,-7.8833,111.1167,75.06,93,40,2.21
273,Muros,ES,2021-06-02 15:50:36,42.7762,-9.0603,61.3,88,96,13.15
274,Sao Miguel Do Araguaia,BR,2021-06-02 15:50:37,-13.275,-50.1628,92.82,24,1,5.86
275,Bridgetown,BB,2021-06-02 15:46:30,13.1,-59.6167,86.49,51,20,12.75
276,Batagay-Alyta,RU,2021-06-02 15:50:39,67.8006,130.4114,53.64,42,64,3.89
277,Brumunddal,NO,2021-06-02 15:50:41,60.881,10.9395,75.25,41,41,5.44
278,San Quintin,MX,2021-06-02 15:50:42,30.4833,-115.95,64.22,75,53,7.09
279,Port Elizabeth,ZA,2021-06-02 15:50:44,-33.918,25.5701,62.89,77,40,16.11
280,Leningradskiy,RU,2021-06-02 15:50:45,69.3833,178.4167,23.63,96,60,8.79
281,Manacapuru,BR,2021-06-02 15:50:46,-3.2997,-60.6206,82.98,56,30,1.32
282,Luau,AO,2021-06-02 15:50:48,-10.7073,22.2247,73.27,33,95,1.9
283,Vila Franca Do Campo,PT,2021-06-02 15:50:49,37.7167,-25.4333,64.81,53,65,9.53
284,Weihai,CN,2021-06-02 15:50:51,37.5017,122.1136,63.61,92,85,20.87
285,San Lawrenz,MT,2021-06-02 15:50:56,36.0553,14.204,72.86,72,46,7.0
286,San Javier,ES,2021-06-02 15:50:57,37.8063,-0.8374,81.63,74,40,7.0
287,Safakulevo,RU,2021-06-02 15:50:58,54.9901,62.5442,55.94,71,100,7.45
288,Castro,BR,2021-06-02 15:51:00,-24.7911,-50.0119,70.9,60,0,9.19
289,Hobyo,SO,2021-06-02 15:51:01,5.3505,48.5268,79.81,77,100,23.11
290,Riviere-Au-Renard,CA,2021-06-02 15:51:02,48.9957,-64.3971,73.69,63,68,17.85
291,Kununurra,AU,2021-06-02 15:51:04,-15.7667,128.7333,75.18,78,90,0.0
292,Chunskiy,RU,2021-06-02 15:51:05,56.0815,99.6342,56.88,58,64,3.2
293,Kendari,ID,2021-06-02 15:51:06,-3.945,122.4989,76.73,90,78,2.17
294,Alofi,NU,2021-06-02 15:51:08,-19.0595,-169.9187,69.69,100,100,2.3
